loadType,name,spriteName,dialogueContent,characterPos,ifRotate,soundType,soundPath,favorability,energyValue,characterID,eventID,eventData,scriptID,scriptIndex,animationNum,expressionIndex
1,,Title,,0,false,3,Daily,0,0,0,0,0,0,0,0,0
3,,,,0,false,0,,0,0,0,3,0,0,1,0,0
3,Test,,,2,false,0,,0,0,0,5,1,0,2,0,0
2,Test,,你好，我叫Test,2,false,1,0,0,10,0,0,0,0,3,0,0
2,Test,,你真厉害!这么快就学会了galgame实现思路的核心内容,2,false,1,1,0,0,0,0,0,0,4,0,0
2,Test,,Test真的好崇拜你哦！,2,false,1,2,5,0,0,0,0,0,5,1,0
2,Test,,不过我们的挑战才刚刚开始！,1,true,1,3,0,0,0,0,0,0,6,0,0
2,Test,,接下来我们要增加难度了哦,1,true,1,4,0,0,0,0,0,0,7,2,0
2,Test,,加油~,3,false,1,5,0,-10,0,0,0,0,8,0,0
0,,,,0,false,3,Normal,0,0,0,0,0,0,9,0,0
3,Debug,,,1,true,0,,0,0,1,5,1,0,10,0,0
2,Debug,,你好，在下名为Debug，看来阁下已经学会了很多拓展内容了,1,true,1,0,0,0,1,0,0,0,11,3,0
2,Test,,呦，Debug来了呀，你也想试试他的能力吗？但是他很厉害的哦，我感觉Debug你不一定可以赢过他，那么你们接下来比什么？,2,false,1,6,0,0,0,0,0,0,12,0,0
2,Debug,,在下想与阁下击剑，不知阁下意下如何？,1,true,1,1,0,-50,1,0,0,0,13,0,3
3,,,,0,false,0,,0,0,0,1,3,1,14,0,0
3,,,击。。。击剑？不太合适吧。。。,0,false,0,,0,0,0,2,2,0,15,0,0
3,,,好的，来吧！但是我没有剑,0,false,0,,0,0,0,2,3,0,16,0,0
3,,,我准备好了！,0,false,0,,0,0,0,2,4,0,17,0,0
2,Debug,,为什么阁下露出了娇羞的表情，似乎在期待什么,1,true,1,2,0,0,1,0,0,2,18,0,2
3,,,,0,false,0,,0,0,0,2,1,0,19,0,0
2,Debug,,阁下放心，剑阁里有的，请随在下来,1,true,1,3,0,0,1,0,0,3,20,0,2
3,,,,0,false,0,,0,0,0,2,1,0,21,0,0
3,Test,,,2,false,0,,0,0,0,5,0,4,22,0,0
2,Debug,,那么我们要开始了，我身上会随机出现破绽，阁下朝破绽上攻击就可以了，不需要考虑是否会伤到我，我能防好,1,true,1,4,0,0,1,0,0,0,23,1,2
3,,,,0,false,0,,0,0,0,4,1,0,24,0,0
3,,,,0,false,0,,0,0,0,2,5,0,25,0,0
3,,,,0,false,0,,0,0,0,2,6,0,26,0,0
2,Debug,,阁下的剑术不是很精进，还需要多加努力,1,true,1,5,0,0,1,0,0,5,27,0,4
3,,,,0,false,0,,0,0,0,2,7,0,28,0,0
2,Debug,,阁下的剑术果然厉害！,1,true,1,6,0,0,1,0,0,6,29,2,3
3,,,,0,false,0,,0,0,0,2,7,0,30,0,0
2,Debug,,那么在下告退，期待下次与阁下见面,1,true,1,7,0,0,1,0,0,7,31,0,2
3,Debug,,,1,true,0,,0,0,1,5,0,0,32,0,0
2,,,那么接下来我想去找,0,false,0,,0,0,0,0,0,0,33,0,0
3,,,,0,false,0,,0,0,0,4,2,0,34,0,0
3,,,,0,false,0,,0,0,0,3,1,0,35,0,0
